dt,kabupaten,jumlah_kejadian,meninggal,hilang,luka_sakit,menderita,mengungsi,rumah_rusak_berat,rumah_rusak_sedang,rumah_rusak_ringan,rumah_terendam,estimasi_kerugian_rumah,pendidikan_rusak,fasyankes_rusak,rumah_ibadat_rusak,fasum_rusak,jembatan_rusak,kantor_rusak
2022-08-16 18:00:00,Kota Adm. Jakarta Selatan,0.5,0,0,0,440,0,0,0,0,110,110,0,0,0,0,0,0
2022-08-16 18:00:00,Kota Adm. Jakarta Timur,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-15 18:00:00,Kota Adm. Jakarta Selatan,0.25,0,0,0,1093,272,0,0,0,111,111,0,0,0,0,0,0
2022-07-15 18:00:00,Kota Adm. Jakarta Timur,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-15 18:00:00,Kota Adm. Jakarta Barat,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-15 18:00:00,Kota Adm. Jakarta Utara,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-05 23:30:00,Kota Adm. Jakarta Timur,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-05 23:30:00,Kota Adm. Jakarta Barat,0.5,0,0,0,126,0,0,0,0,20,20,0,0,0,0,0,0
2022-03-17 12:01:00,Kota Adm. Jakarta Selatan,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-17 12:01:00,Kota Adm. Jakarta Barat,0.5,0,0,0,157,0,0,0,0,29,29,0,0,0,0,0,0
2022-02-17 01:30:00,Kota Adm. Jakarta Selatan,0.5,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-17 01:30:00,Kota Adm. Jakarta Timur,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-20 23:59:00,Kota Adm. Jakarta Barat,0.5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2021-12-20 00:01:00,Kota Adm. Jakarta Selatan,0.5,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-12 19:00:00,Kota Adm. Jakarta Selatan,1,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0
2021-11-08 08:10:00,Kota Adm. Jakarta Timur,1,0,0,0,226,417,0,0,0,218,218,0,0,0,0,0,0
2021-11-07 00:01:00,Kota Adm. Jakarta Selatan,0.5,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-07 00:01:00,Kota Adm. Jakarta Timur,0.5,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01 13:00:00,Kota Adm. Jakarta Timur,1,0,0,0,2413,144,0,0,0,942,942,0,0,0,0,0,0
